year,sex,nus,ntu,smu
1982,Male,3937,582,
1982,Female,2024,57,
1983,Male,4161,702,
1983,Female,2478,63,
1984,Male,4441,690,
1984,Female,2217,110,
1985,Male,4654,708,
1985,Female,2308,82,
1986,Male,4897,796,
1986,Female,2581,114,
1987,Male,4486,1423,
1987,Female,2326,556,
1988,Male,5337,1615,
1988,Female,2691,666,
1989,Male,5059,1328,
1989,Female,2589,733,
1990,Male,5053,1875,
1990,Female,2430,1046,
1991,Male,4304,2635,
1991,Female,2319,1131,
1992,Male,4541,3004,
1992,Female,2588,1194,
1993,Male,4716,3297,
1993,Female,2595,1350,
1994,Male,5015,3425,
1994,Female,2697,1458,
1995,Male,5076,3525,
1995,Female,2929,1651,
1996,Male,5189,3740,
1996,Female,3102,1542,
1997,Male,5410,3840,
1997,Female,3059,1704,
1998,Male,5741,4019,
1998,Female,3165,1705,
1999,Male,6372,4245,
1999,Female,3545,1817,
2000,Male,6421,4506,305
2000,Female,3437,2113,212
2001,Male,6479,4156,509
2001,Female,3534,1944,376
2002,Male,6019,4411,607
2002,Female,3252,2066,408
2003,Male,6245,4350,824
2003,Female,3413,1854,512
2004,Male,5722,5377,1095
2004,Female,2955,2555,712
2005,Male,6095,5206,1207
2005,Female,3122,2663,586
2006,Male,6631,5746,1356
2006,Female,3618,2735,640
2007,Male,6554,6196,1603
2007,Female,3710,3201,896
2008,Male,6432,6033,1670
2008,Female,3389,3039,952
2009,Male,6775,6719,1770
2009,Female,3426,3379,889
2010,Male,6568,6132,1686
2010,Female,3405,2951,823
2011,Male,6724,6177,1729
2011,Female,3566,3026,869
2012,Male,6733,5905,1930
2012,Female,3545,3028,1121
2013,Male,6892,6660,1924
2013,Female,3685,3537,983
2014,Male,7108,6480,1912
2014,Female,3857,3153,908
2015,Male,6935,6525,1944
2015,Female,3720,3140,1062
2016,Male,7011,6138,1961
2016,Female,3680,2964,1052
2017,Male,7121,5955,2004
2017,Female,3468,2867,1103
2018,Male,7856,6160,2161
2018,Female,4139,2889,1230
